,Brent,WTI,USD_Index,EPU,GPR,UAH_per_USD,RUB_per_USD,AED_per_USD,brent_return_1d,brent_wti_spread,brent_rolling_vol_30,target_residual_30d
Brent,1.0,0.9893798168795507,0.06259669996491297,-0.4722926011892031,0.007194283547708958,-0.6301308898348464,-0.1601024761734708,,0.08561210279534529,0.3784953940467755,0.21553476131979746,-0.30324596867810105
WTI,0.9893798168795507,1.0,0.0898183957609669,-0.47980603649397174,-0.0013779667650180502,-0.616955385391777,-0.13609346043419782,,0.0823519396622038,0.257560037888935,0.19498070174327614,-0.2891330415432934
USD_Index,0.06259669996491297,0.0898183957609669,1.0,-0.017809488420610226,-0.0011499073392617829,0.10347809834237108,0.24594861015838482,,-0.04185424014411833,-0.1295046430948107,-0.20214778356823979,-0.2680313289475185
EPU,-0.4722926011892031,-0.47980603649397174,-0.017809488420610226,1.0,0.10267856521857986,0.5469084300534859,-0.14891009383078338,,-0.011440854992701015,-0.07119762419565501,0.0565017669371114,0.06748185711908404
GPR,0.007194283547708958,-0.0013779667650180502,-0.0011499073392617829,0.10267856521857986,1.0,0.18100274521547188,0.01390005012878681,,0.03064743294425841,0.06602676411971621,0.1610746738139353,0.03541157913419708
UAH_per_USD,-0.6301308898348464,-0.616955385391777,0.10347809834237108,0.5469084300534859,0.18100274521547188,1.0,0.24816118153803618,,-0.001226046533534117,-0.23471266973487517,-0.2519770890787321,0.1643510206958319
RUB_per_USD,-0.1601024761734708,-0.13609346043419782,0.24594861015838482,-0.14891009383078338,0.01390005012878681,0.24816118153803618,1.0,,-0.007784566582469496,-0.27394093190085295,-0.5103640834465333,0.034323354060862024
AED_per_USD,,,,,,,,,,,,
brent_return_1d,0.08561210279534529,0.0823519396622038,-0.04185424014411833,-0.011440854992701015,0.03064743294425841,-0.001226046533534117,-0.007784566582469496,,1.0,0.05268313270659478,0.021894793050293068,-0.032084295490855674
brent_wti_spread,0.3784953940467755,0.257560037888935,-0.1295046430948107,-0.07119762419565501,0.06602676411971621,-0.23471266973487517,-0.27394093190085295,,0.05268313270659478,1.0,0.22204934420772995,-0.25811521518808167
brent_rolling_vol_30,0.21553476131979746,0.19498070174327614,-0.20214778356823979,0.0565017669371114,0.1610746738139353,-0.2519770890787321,-0.5103640834465333,,0.021894793050293068,0.22204934420772995,1.0,-0.02536569824585953
target_residual_30d,-0.30324596867810105,-0.2891330415432934,-0.2680313289475185,0.06748185711908404,0.03541157913419708,0.1643510206958319,0.034323354060862024,,-0.032084295490855674,-0.25811521518808167,-0.02536569824585953,1.0
