model,regime,n,mse,rmse,mae,mape,direction_acc
TimeMixer (fusion; late.gru_gate),normal_or_low_volatility,42,230.54934692382812,15.183851518103966,11.745610237121582,0.12218160927295685,0.9285714285714286
TimeMixer (fusion; late.gru_gate),high_volatility,18,259.8359680175781,16.119428278247902,13.397513389587402,0.129930317401886,1.0
ARIMA,normal_or_low_volatility,42,263.75494384765625,16.24053397667873,12.433820724487305,0.12855775654315948,0.23809523809523808
ARIMA,high_volatility,18,296.40557861328125,17.216433388285775,14.33401107788086,0.13882748782634735,0.16666666666666666
Naive,normal_or_low_volatility,42,254.39498901367188,15.949764544145216,12.458585739135742,0.12996149063110352,0.0
Naive,high_volatility,18,285.4107666015625,16.894104492442402,14.216889381408691,0.13856026530265808,0.0
HAR-no-leak,normal_or_low_volatility,42,278.53070068359375,16.689239068441488,13.220703125,0.13848038017749786,0.07142857142857142
HAR-no-leak,high_volatility,18,314.9022216796875,17.745484543389836,15.146246910095215,0.1483941376209259,0.0
LSTM,normal_or_low_volatility,42,344.44134521484375,18.559131046868647,15.38435173034668,0.1621231585741043,0.07142857142857142
LSTM,high_volatility,18,455.4967956542969,21.342370900495027,18.522727966308594,0.18108217418193817,0.0
