target,predictor,lag_days,n,pearson_corr,pearson_p_value,spearman_corr,spearman_p_value,interpretation,abs_pearson_corr
brent_return_1d,brent_return_1d,0,1460,0.9999999999999994,0.0,0.9999999999999999,0.0,brent_return_1d(t-0) vs brent_return_1d(t),0.9999999999999994
brent_return_1d,GPR,3,1458,0.10172255430024159,9.986679303215022e-05,0.025371390707824206,0.3329943371869034,GPR(t-3) vs brent_return_1d(t),0.10172255430024159
brent_return_1d,WTI,60,1401,-0.08358846920440637,0.0017397526132750846,-0.03761023756509412,0.1594303583691182,WTI(t-60) vs brent_return_1d(t),0.08358846920440637
brent_return_1d,brent_rolling_vol_7,1,1458,0.08228610311908595,0.0016629562009647747,0.041401601352545316,0.11406319718866079,brent_rolling_vol_7(t-1) vs brent_return_1d(t),0.08228610311908595
brent_return_1d,brent_wti_spread,1,1460,-0.07837235231220537,0.0027296520748850903,-0.07485154442746947,0.004214567801914443,brent_wti_spread(t-1) vs brent_return_1d(t),0.07837235231220537
brent_return_1d,Brent,0,1460,0.07439688398228012,0.004452192231926147,0.08561210279534529,0.001058696659980151,Brent(t-0) vs brent_return_1d(t),0.07439688398228012
brent_return_1d,USD_Index,21,1440,-0.05817967784961732,0.02726404284712404,-0.04537174457381046,0.08522762638682187,USD_Index(t-21) vs brent_return_1d(t),0.05817967784961732
brent_return_1d,UAH_per_USD,60,1401,0.05626688066040299,0.035217017404760256,0.008929192602357068,0.7384343191502838,UAH_per_USD(t-60) vs brent_return_1d(t),0.05626688066040299
brent_return_1d,EPU,7,1454,0.05197934598018568,0.047515314895235056,0.0023327995288755887,0.9291801250916276,EPU(t-7) vs brent_return_1d(t),0.05197934598018568
brent_return_1d,brent_rolling_vol_30,1,1455,0.04802259971338775,0.06705898610068155,0.024505158454937673,0.35026623989669425,brent_rolling_vol_30(t-1) vs brent_return_1d(t),0.04802259971338775
brent_return_1d,text_count,30,1431,-0.036847555358565376,0.16357594553991356,-0.028706826006043396,0.2778275108169504,text_count(t-30) vs brent_return_1d(t),0.036847555358565376
brent_return_1d,RUB_per_USD,45,1416,0.010688130888171637,0.6877957055901361,-0.0060080470284494016,0.8212917664971988,RUB_per_USD(t-45) vs brent_return_1d(t),0.010688130888171637
brent_return_1d,image_count,0,1460,,,,,image_count(t-0) vs brent_return_1d(t),
brent_return_1d,image_covered,0,1460,,,,,image_covered(t-0) vs brent_return_1d(t),
brent_return_1d,text_covered,0,1460,,,,,text_covered(t-0) vs brent_return_1d(t),
target_residual_30d,WTI,45,1386,-0.40374182023631683,1.765772686587361e-55,-0.35325817167230317,5.275502025364234e-42,WTI(t-45) vs target_residual_30d(t),0.40374182023631683
target_residual_30d,Brent,45,1386,-0.365652600784062,4.286061859767478e-45,-0.32469345126120824,2.166283513838281e-35,Brent(t-45) vs target_residual_30d(t),0.365652600784062
target_residual_30d,UAH_per_USD,45,1386,0.3229726014700396,5.154506883650975e-35,0.20486830250988625,1.3395594083533912e-14,UAH_per_USD(t-45) vs target_residual_30d(t),0.3229726014700396
target_residual_30d,USD_Index,14,1417,-0.29172689374616956,3.3773585226265415e-29,-0.27400227893058215,8.028757124746998e-26,USD_Index(t-14) vs target_residual_30d(t),0.29172689374616956
target_residual_30d,brent_wti_spread,0,1431,-0.23659927855090512,1.1740320648681744e-19,-0.25811521518808167,3.266041650620291e-23,brent_wti_spread(t-0) vs target_residual_30d(t),0.23659927855090512
target_residual_30d,EPU,60,1371,0.18782155272432813,2.372830555986391e-12,0.13724329147658015,3.3745196836050187e-07,EPU(t-60) vs target_residual_30d(t),0.18782155272432813
target_residual_30d,text_count,60,1371,-0.17222233903310694,1.3709791359974606e-10,-0.131961958285109,9.430831058192252e-07,text_count(t-60) vs target_residual_30d(t),0.17222233903310694
target_residual_30d,GPR,0,1431,0.1649917585420272,3.407011039327485e-10,0.035411579134197076,0.18062981378043927,GPR(t-0) vs target_residual_30d(t),0.1649917585420272
target_residual_30d,brent_rolling_vol_7,0,1429,0.1599253483934878,1.206373136481748e-09,0.020048844356547767,0.4488691685544042,brent_rolling_vol_7(t-0) vs target_residual_30d(t),0.1599253483934878
target_residual_30d,brent_rolling_vol_30,90,1336,-0.12442067984092518,5.0857518124205745e-06,-0.04452042069995886,0.10382971404999732,brent_rolling_vol_30(t-90) vs target_residual_30d(t),0.12442067984092518
target_residual_30d,RUB_per_USD,30,1401,0.07786312611029098,0.00354279567392512,0.056676869374867885,0.03390302779116136,RUB_per_USD(t-30) vs target_residual_30d(t),0.07786312611029098
target_residual_30d,brent_return_1d,14,1416,0.03572238533621173,0.17912080546749118,0.0010801645731040226,0.9676064401547827,brent_return_1d(t-14) vs target_residual_30d(t),0.03572238533621173
target_residual_30d,image_count,0,1431,,,,,image_count(t-0) vs target_residual_30d(t),
target_residual_30d,image_covered,0,1431,,,,,image_covered(t-0) vs target_residual_30d(t),
target_residual_30d,text_covered,0,1431,,,,,text_covered(t-0) vs target_residual_30d(t),
