target,predictor,lag_days,n,pearson_corr,pearson_p_value,spearman_corr,spearman_p_value,interpretation
target_residual_30d,Brent,0,1431,-0.2284255594371283,2.145188674667996e-18,-0.3032459686781011,8.058562390220197e-32,Brent(t-0) vs target_residual_30d(t)
target_residual_30d,Brent,1,1430,-0.22940954160675509,1.5631871941461068e-18,-0.2997118526581188,4.562512139804036e-31,Brent(t-1) vs target_residual_30d(t)
target_residual_30d,Brent,3,1428,-0.23047548852965877,1.136463007028997e-18,-0.2906935079210172,3.3084013949668014e-29,Brent(t-3) vs target_residual_30d(t)
target_residual_30d,Brent,7,1424,-0.24336783499270515,1.2074317913325496e-20,-0.27990716871794724,4.808295680458391e-27,Brent(t-7) vs target_residual_30d(t)
target_residual_30d,Brent,14,1417,-0.2793171969555477,8.278158720232904e-27,-0.2808241838097314,4.3071677793679485e-27,Brent(t-14) vs target_residual_30d(t)
target_residual_30d,Brent,21,1410,-0.2973719525596978,3.49376077888787e-30,-0.29122518330629527,5.798257871957287e-29,Brent(t-21) vs target_residual_30d(t)
target_residual_30d,Brent,30,1401,-0.33055349529383116,4.530012241002877e-37,-0.3044866455303779,1.9280036308090196e-31,Brent(t-30) vs target_residual_30d(t)
target_residual_30d,Brent,45,1386,-0.365652600784062,4.286061859767478e-45,-0.32469345126120824,2.166283513838281e-35,Brent(t-45) vs target_residual_30d(t)
target_residual_30d,Brent,60,1371,-0.3381621324598387,5.032949588760838e-38,-0.28215110726340686,1.6542144068169972e-26,Brent(t-60) vs target_residual_30d(t)
target_residual_30d,Brent,90,1341,-0.2790226823039562,2.101709313847908e-25,-0.21327315364081936,2.933634973516193e-15,Brent(t-90) vs target_residual_30d(t)
target_residual_30d,WTI,0,1431,-0.2047468870719048,5.21917930642196e-15,-0.2891330415432934,5.894955104824227e-29,WTI(t-0) vs target_residual_30d(t)
target_residual_30d,WTI,1,1430,-0.2084434120249386,1.6779586356465753e-15,-0.2899817809463582,4.187679939587414e-29,WTI(t-1) vs target_residual_30d(t)
target_residual_30d,WTI,3,1428,-0.21345313972571767,3.543200452052267e-16,-0.2842912616613197,5.912064451782977e-28,WTI(t-3) vs target_residual_30d(t)
