model,run_id,folds,rmse_mean,rmse_std,rolling_score,rmse_median,mae_mean,mae_std,mape_mean,direction_acc_mean,selection_rule,test_rmse_mean,test_mae_mean,role
TimeMixer (fusion; late.gru_gate),late_gru_gate_validation_selected_top2,6,4.795701457782832,4.911772579248278,6.023644602594902,3.088050510623789,3.840157195833333,3.923730140504009,0.0471045730275182,0.725,per-fold validation RMSE Top-2 late.gru_gate config ensemble,15.470465802144204,12.241180327777776,mainline
TimeMixer (late.gru_concat),late.gru_concat,6,4.968824145850442,5.031360585787295,6.226664292297265,2.8146459750383754,3.8534292380015054,4.015893653139908,0.0473436812559763,0.5361111111111111,,16.124977118042665,12.735534032185871,fusioner_control
TimeMixer (text),Text,6,5.141431848935406,4.856942285018756,6.355667420190096,3.212925914596761,4.095584472020467,3.8502731151155474,0.051029033648471,0.5472222222222222,,16.00996802897935,12.704315821329752,single_modal_control
TimeMixer (image),Image,6,5.252713508570863,4.765936269423638,6.444197575926772,3.281797440118133,4.17813915014267,3.739121075995393,0.0521912388503551,0.4222222222222222,,15.880632423056282,12.584294001261393,single_modal_control
Naive,Naive,6,5.218523313240942,4.996538227978826,6.467657870235648,3.2605125847302774,4.155549148718516,4.022403747367021,0.0515700687343875,0.0,,16.238835181945973,12.986078262329102,baseline_control
TimeMixer (structured),Structured,6,5.218523456357277,4.9965381659848624,6.467657997853492,3.2605130140792804,4.155549267927806,4.022403707454757,0.0515700705970327,0.0055555555555555,,16.238835181945973,12.986078262329102,single_modal_control
TimeMixer (intermediate.gated),intermediate.gated,6,5.288026964978973,4.894323191544324,6.5116077628650535,3.2971249007263417,4.25053717692693,3.9013424013541433,0.0530812731012702,0.5416666666666666,,16.12508007656361,12.84991486867269,fusioner_control
ARIMA,ARIMA,6,5.445295802748028,5.098414519309142,6.719899432575313,3.34117237556762,4.288908541202545,4.021371900980763,0.0532217929139733,0.475,single-variable ARIMA residual baseline with strict label-availability lag,16.53935126844035,13.003877639770508,baseline_control
HAR-no-leak,HAR-no-leak,6,5.384639542607328,5.437784786624253,6.744085739263391,3.3218722860371432,4.3368634780248,4.467182823403193,0.0534319483364621,0.4638888888888888,,17.013000005567893,13.798367500305176,baseline_control
LSTM,LSTM,6,5.765513260701238,5.854012953482517,7.229016499071867,3.4082585130994136,4.875492711861928,4.784277927403144,0.060676794188718,0.4666666666666667,,19.66246005895684,16.46138636271159,baseline_control
