source_country,document_count,source_count,active_days,share_of_documents
United States,1703,279,945,0.19238590149118842
India,1344,122,810,0.1518300948938093
China,593,56,460,0.06699051061906913
Russia,557,79,407,0.06292363307727067
Unknown,440,75,349,0.04970628106642567
Nigeria,374,43,294,0.042250338906461814
Turkey,227,48,182,0.025643922277451422
Saudi Arabia,197,12,181,0.02225485765928604
Indonesia,190,60,157,0.021464075915047447
United Kingdom,171,36,157,0.019317668323542703
Qatar,159,5,135,0.017962042476276547
Bulgaria,156,21,128,0.01762313601446001
Pakistan,153,22,135,0.01728422955264347
Ukraine,150,39,129,0.01694532309082693
Germany,148,31,118,0.016719385449615907
Canada,148,26,122,0.016719385449615907
France,137,34,104,0.015476728422955265
Mexico,100,31,90,0.011296882060551287
Greece,97,30,74,0.01095797559873475
Azerbaijan,91,17,83,0.010280162675101671
United Arab Emirates,91,9,85,0.010280162675101671
Poland,64,24,58,0.0072300045187528245
Singapore,62,4,60,0.0070040668775417985
Venezuela,61,26,53,0.0068910980569362856
Slovak Republic,61,7,56,0.0068910980569362856
Malaysia,57,10,53,0.006439222774514234
Romania,52,20,42,0.00587437867148667
Spain,49,31,42,0.005535472209670131
South Africa,48,21,45,0.005422503389064619
Czech Republic,46,13,43,0.005196565747853593
Hungary,42,13,39,0.004744690465431541
Ghana,40,7,34,0.004518752824220515
Argentina,40,20,37,0.004518752824220515
Egypt,40,12,38,0.004518752824220515
Armenia,39,7,32,0.004405784003615003
Australia,38,14,33,0.00429281518300949
Taiwan,37,10,31,0.004179846362403977
Finland,34,12,24,0.0038409399005874378
Philippines,33,10,32,0.003727971079981925
Syria,32,5,30,0.0036150022593764122
Israel,31,17,30,0.0035020334387708993
Colombia,31,11,30,0.0035020334387708993
Serbia,30,10,29,0.0033890646181653863
Jordan,30,6,29,0.0033890646181653863
Cyprus,29,8,28,0.0032760957975598733
Kazakhstan,29,9,28,0.0032760957975598733
Iran,28,7,28,0.0031631269769543608
Kuwait,28,8,25,0.0031631269769543608
Brazil,24,15,23,0.0027112516945323093
Bangladesh,24,10,22,0.0027112516945323093
Lebanon,23,6,23,0.0025982828739267963
Bolivia,23,4,21,0.0025982828739267963
US,19,2,19,0.002146407591504745
Iraq,19,6,18,0.002146407591504745
Italy,18,8,12,0.002033438770899232
Croatia,17,10,15,0.0019204699502937189
Peru,16,7,15,0.0018075011296882061
Libya,15,2,13,0.0016945323090826931
Ecuador,15,5,14,0.0016945323090826931
Bahrain,14,1,14,0.0015815634884771804
Chile,13,4,12,0.0014685946678716674
Belarus,12,5,11,0.0013556258472661546
Latvia,11,7,10,0.0012426570266606417
Sri Lanka,11,6,8,0.0012426570266606417
